representation,vertices,density,avg_time_us
list,10,25,1.069
matrix,10,25,3.322
list,10,50,3.035
matrix,10,50,3.6
list,10,75,2.316
matrix,10,75,4.926
list,10,100,1.992
matrix,10,100,4.178
list,50,25,15.936
matrix,50,25,38.046
list,50,50,20.524
matrix,50,50,42.763
list,50,75,23.55
matrix,50,75,46.653
list,50,100,22.436
matrix,50,100,42.647
list,100,25,40.604
matrix,100,25,93.586
list,100,50,50.825
matrix,100,50,124.806
list,100,75,59.089
matrix,100,75,126.525
list,100,100,52.686
matrix,100,100,104.422
list,500,25,372.255
matrix,500,25,1230.99
list,500,50,460.859
matrix,500,50,1889.86
list,500,75,566.246
matrix,500,75,1504.33
list,500,100,591.295
matrix,500,100,1021.07
list,1000,25,915.028
matrix,1000,25,3994.14
list,1000,50,1308.17
matrix,1000,50,6442.71
list,1000,75,1719.72
matrix,1000,75,5108.93
list,1000,100,2176.67
matrix,1000,100,3296.22
